n,ms,bfs,dfs
2,100,0.3,0.3
3,100,0.7,0.5
3,100,0.5,0.9
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.9,0.9
3,100,0.5,0.7
3,100,0.9,0.7
3,100,0.7,0.7
2,100,0.3,0.3
4,100,1.1,0.9
5,100,1.3,1.1
6,100,1.7,1.5
7,100,3.7,1.9
8,100,24.3,7.9
9,100,3.1,5.5
10,100,50.7,11.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
2,100,0.3,0.3
3,100,0.9,0.9
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.7,0.5
3,100,0.9,0.9
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.9,0.7
3,100,0.7,0.5
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.5,0.7
3,100,0.7,0.7
3,100,0.7,0.7
3,100,0.7,1.1
3,100,0.5,0.7
3,100,0.5,0.5
3,100,0.7,0.5
3,100,0.7,0.7
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.5,0.7
3,100,0.5,0.5
3,100,0.7,1.1
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.5,0.7
3,100,0.5,0.7
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.5,0.9
3,100,0.5,0.7
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.7,1.1
3,100,0.7,0.5
3,100,0.5,0.9
3,100,0.9,0.9
3,100,0.5,0.5
3,100,0.5,0.5
3,100,0.5,0.9
3,100,0.5,0.5
3,100,0.9,0.9
3,100,0.7,0.5
3,100,0.5,0.9
3,100,0.7,0.7
3,100,0.7,0.5
3,100,0.5,0.5
3,100,0.7,0.7
3,100,0.7,0.7
3,100,0.5,0.5
3,100,0.7,1.1
3,100,0.7,1.1
3,100,0.7,0.5
4,100,1.1,1.1
4,100,1.5,1.1
4,100,1.7,1.3
4,100,1.7,1.7
4,100,1.1,0.9
4,100,0.9,0.7
4,100,2.3,1.7
4,100,0.9,0.9
4,100,1.5,1.7
4,100,1.1,1.1
4,100,1.5,1.3
4,100,0.9,0.9
4,100,0.9,0.7
4,100,1.1,0.9
4,100,1.1,0.9
4,100,0.7,0.7
4,100,1.3,1.1
4,100,0.9,0.7
4,100,0.9,0.7
4,100,1.7,0.9
4,100,0.9,0.7
4,100,1.1,0.9
4,100,0.9,0.7
